id,name,is_channel,is_group,is_im,created,is_archived,is_general,unlinked,name_normalized,is_shared,parent_conversation,creator,is_ext_shared,is_org_shared,shared_team_ids,pending_shared,pending_connected_team_ids,is_pending_ext_shared,is_member,is_private,is_mpim,topic,purpose,previous_names,num_members
C026VUA9FFU,proj-brigade-analytics,checked,False,False,7/2/2021,,,0,proj-brigade-analytics,False,,U5XNNDLER,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],11
C025ENWRB7Y,proj-best-pracitices,checked,False,False,6/21/2021,,,0,proj-best-pracitices,False,,U5XNNDLER,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],2
C0232B9RL1J,proj-3d-street,checked,False,False,5/24/2021,,,0,proj-3d-street,False,,U5XNNDLER,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],13
C020SEG2KPE,proj-smolbiz,checked,False,False,4/30/2021,,,0,proj-smolbiz,False,,UBWE0BWE4,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],6
C020CUX35EU,proj-gardenspace,checked,False,False,4/22/2021,,,0,proj-gardenspace,False,,UBWE0BWE4,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],6
C01SF8GE6NL,discuss-sustainability,checked,False,False,3/18/2021,,,0,discuss-sustainability,False,,USQ8YHKB7,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],15
C01R8E75N1K,proj-compass,checked,False,False,3/15/2021,,,0,proj-compass,False,,UP84C9TU0,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],20
C01QPHP529G,proj-codeswitch,checked,False,False,3/9/2021,,,0,proj-codeswitch,False,,U01KCN2L83D,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],5
C01N4B5SW5P,odd-2021,checked,False,False,2/11/2021,,,0,odd-2021,False,,U5XNNDLER,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],8
C01JXTJJKRV,discuss-devmission-fellowship,checked,False,False,1/21/2021,,,0,discuss-devmission-fellowship,False,,UBWE0BWE4,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],27
C01CN7L1HM5,virtual-coffee,checked,False,False,10/22/2020,,,0,virtual-coffee,False,,U0176769Z42,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],16
C01AV92EM47,proj-covid-alerts,checked,False,False,9/24/2020,,,0,proj-covid-alerts,False,,UBX6Z5DQS,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],6
C01ADQLFHDG,proj-tinytown,checked,False,False,9/10/2020,,,0,proj-tinytown,False,,UP4URL0LT,False,False,['T0431NL8C'],[],[],False,False,False,False,,,[],35
C01AML1105A,problem-statements-ndoch2020,checked,False,False,9/10/2020,,,0,problem-statements-ndoch2020,True,,U83UCCQSZ,True,False,,[],[],False,False,False,False,,,[],53
